60 
21 40 28 
30 28 18 
21 30 34 
22 38 37 
22 37 35 
22 35 20 
20 29 27 
20 27 40 
40 26 28 
40 25 26 
32 19 0 
32 0 12 
24 7 3 
24 3 16 
40 27 25 
20 33 29 
20 35 33 
22 36 38 
21 34 36 
21 36 23 
23 20 40 
23 22 20 
24 25 7 
34 12 13 
39 1 8 
26 16 17 
32 30 19 
24 16 26 
32 12 34 
31 11 2 
28 17 18 
28 26 17 
31 2 4 
31 4 29 
36 13 14 
39 15 1 
29 4 5 
39 8 37 
24 26 25 
23 40 21 
32 34 30 
22 23 36 
37 8 9 
35 9 10 
27 5 6 
27 29 5 
35 37 9 
36 34 13 
30 18 19 
38 14 15 
38 15 39 
38 39 37 
33 10 11 
33 11 31 
25 6 7 
25 27 6 
33 35 10 
33 31 29 
36 14 38 
21 28 30 
