41 
 0.000000 0.000000 
 1.000000 0.000000 
 1.000000 1.000000 
 0.000000 1.000000 
 0.800000 1.000000 
 0.600000 1.000000 
 0.400000 1.000000 
 0.200000 1.000000 
 1.000000 0.200000 
 1.000000 0.400000 
 1.000000 0.600000 
 1.000000 0.800000 
 0.200000 0.000000 
 0.400000 0.000000 
 0.600000 0.000000 
 0.800000 0.000000 
 0.000000 0.800000 
 0.000000 0.600000 
 0.000000 0.400000 
 0.000000 0.200000 
 0.627303 0.608767 
 0.338814 0.380169 
 0.669560 0.376276 
 0.502811 0.440100 
 0.136603 0.863397 
 0.302546 0.830360 
 0.166083 0.694241 
 0.500839 0.806668 
 0.176505 0.498977 
 0.696616 0.831472 
 0.157612 0.302158 
 0.863397 0.863397 
 0.136603 0.136603 
 0.834599 0.695200 
 0.300906 0.170375 
 0.826795 0.500000 
 0.502258 0.217383 
 0.844607 0.301726 
 0.700000 0.173205 
 0.864905 0.136224 
 0.375769 0.608787 
